WindKind,Policy,ExcessMean,ExcessMax,MaxAccelUsed,Steps,EnergyOn
const,openloop,6.73505412287275,6.73505412287275,0,60,1
const,tracker,8.07469504253547,8.09773975110104,2,60,1
const,esc,6.45060660398068,7.77667597828732,2,60,1
const,spsa,6.89368759665362,7.07355088693403,2,60,1
const,bayes,11.1326592884144,12.1618993422551,2,60,1
const,qnewton,6.74076352457327,7.07255823324816,2,60,1
const,gtrack,5.33817393879413,7.72156518351486,2,60,1
const,est,7.53591754509063,9.20068081432314,2,60,1
const,known,0.252529933733675,0.252529933733675,2,60,1
sin,openloop,6.60166428871552,6.60166428871552,0,60,1
sin,tracker,9.89407370876885,9.93263292223404,2,60,1
sin,esc,8.44754995284325,8.45867743081559,2,60,1
sin,spsa,6.44454925950338,6.59347682123444,2,60,1
sin,bayes,11.5586298538317,12.0143839533398,2,60,1
sin,qnewton,6.10033269330979,6.75587783209457,2,60,1
sin,gtrack,7.22569496288645,7.79265532776158,2,60,1
sin,est,7.11438147612961,7.1243801912331,2,60,1
sin,known,0.454060914796838,0.454060914796838,2,60,1
square,openloop,6.79348728848294,6.79348728848294,0,60,1
square,tracker,10.7312277327074,10.8988943683892,2,60,1
square,esc,7.59256003028206,8.28134702790141,2,60,1
square,spsa,6.56246252810403,6.69390838341379,2,60,1
square,bayes,8.44078135846543,8.71441627289708,2,60,1
square,qnewton,6.52719324131287,7.02047990900425,2,60,1
square,gtrack,6.59683555820168,7.46571105386313,2,60,1
square,est,7.47118600739341,7.50619753597763,2,60,1
square,known,0.663458949568528,0.663458949568528,2,60,1
triangle,openloop,6.22710198556071,6.22710198556071,0,60,1
triangle,tracker,9.34852405043554,9.61971906960144,2,60,1
triangle,esc,8.36810230293697,8.46342547353026,2,60,1
triangle,spsa,6.21889448000781,6.32445211749168,2,60,1
triangle,bayes,10.7919608108635,12.1816690517211,2,60,1
triangle,qnewton,5.70415021493574,5.85681443325943,2,60,1
triangle,gtrack,6.96991963281336,7.57718414682362,2,60,1
triangle,est,7.25845896788253,7.51012782736875,2,60,1
triangle,known,0.410535876953562,0.410535876953562,2,60,1
turb,openloop,6.07886798024898,6.35194567661006,0,60,1
turb,tracker,9.63137509428647,9.92426165161216,2,60,1
turb,esc,7.45345206188088,7.73085436651318,2,60,1
turb,spsa,6.19700273459677,6.22742030016121,2,60,1
turb,bayes,9.69262516814602,9.84076849391922,2,60,1
turb,qnewton,7.04667690323031,7.16045019219535,2,60,1
turb,gtrack,7.0031719868912,7.52873488086769,2,60,1
turb,est,6.27279554954462,7.37888930202393,2,60,1
turb,known,3.23180102997989,3.32267394032443,2,60,1
composite,openloop,6.52813467108552,6.59355290135328,0,60,1
composite,tracker,9.58911671438626,9.68221695042751,2,60,1
composite,esc,6.65212796490218,8.73192377250249,2,60,1
composite,spsa,6.07792697926335,6.07825758180271,2,60,1
composite,bayes,11.5607462211052,12.5243871584308,2,60,1
composite,qnewton,5.70427194625344,6.83066715899189,2,60,1
composite,gtrack,6.83562565082641,7.41196658309783,2,60,1
composite,est,7.59595793691883,7.72378226437948,2,60,1
composite,known,0.651139670513916,0.678522974547596,2,60,1
sector,openloop,6.86960647536147,6.86960647536147,0,60,1
sector,tracker,5.77323700126054,7.00502005768689,2,60,1
sector,esc,6.52624581072967,7.26053983076823,2,60,1
sector,spsa,7.49243159167346,7.66330899809652,2,60,1
sector,bayes,13.077057812996,13.1318501134127,2,60,1
sector,qnewton,8.33907878144237,8.48434764864834,2,60,1
sector,gtrack,5.45153821224139,7.78110808754298,2,60,1
sector,est,7.42376200147021,8.47342806377649,2,60,1
sector,known,0.244420121255526,0.244420121255526,2,60,1
